blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Latitude,Longitude
460A,BT BATOK WEST AVE 9,17,2019,Y,N,N,N,N,N,BB,143,0,48,47,48,0,0,0,0,0,0,0,0,460A BT BATOK WEST AVE 9,1.36137294343434,103.936587995929
460A,SENGKANG WEST WAY,14,2022,Y,N,N,N,N,N,SK,104,0,0,0,52,52,0,0,0,0,0,0,0,460A SENGKANG WEST WAY,1.38070883044887,103.835368226602
460B,BT BATOK WEST AVE 9,17,2019,Y,N,N,N,N,N,BB,144,0,80,32,32,0,0,0,0,0,0,0,0,460B BT BATOK WEST AVE 9,1.32934898685946,103.911583237057
460B,SENGKANG WEST WAY,14,2022,Y,N,N,N,N,N,SK,104,0,0,0,52,52,0,0,0,0,0,0,0,460B SENGKANG WEST WAY,1.39724418317226,103.744501292642
460C,BT BATOK WEST AVE 9,18,2019,Y,N,N,N,N,N,BB,169,0,101,0,68,0,0,0,0,0,0,0,0,460C BT BATOK WEST AVE 9,1.305104400087,103.766311863504
460C,SENGKANG WEST WAY,14,2022,Y,N,N,N,N,N,SK,117,0,0,0,78,39,0,0,0,0,0,0,0,460C SENGKANG WEST WAY,1.37729474368384,103.944122496253
460D,BT BATOK WEST AVE 9,19,2019,Y,N,N,N,N,N,BB,180,0,108,0,72,0,0,0,0,0,0,0,0,460D BT BATOK WEST AVE 9,1.37123297855584,103.88691800304
461,ANG MO KIO AVE 10,12,1979,Y,Y,N,N,N,N,AMK,131,0,0,108,22,1,0,0,0,0,0,0,0,461 ANG MO KIO AVE 10,1.33925339751499,103.700219197809
461,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,120,0,0,0,0,60,60,0,0,0,0,0,0,461 CHOA CHU KANG AVE 4,1.43821741607197,103.796391500509
461,CLEMENTI AVE 3,25,2005,Y,N,N,N,N,N,CL,187,0,0,0,137,50,0,0,0,0,0,0,0,461 CLEMENTI AVE 3,1.42254719084625,103.83630530745
461,CRAWFORD LANE,25,1981,Y,Y,N,Y,N,N,KWN,92,0,0,0,0,92,0,0,0,0,0,0,0,461 CRAWFORD LANE,1.40348053779097,103.907117403756
461,HOUGANG AVE 10,16,1991,Y,N,N,N,N,N,HG,68,0,0,0,12,56,0,0,0,0,0,0,0,461 HOUGANG AVE 10,1.40301276677721,103.906863540581
461,JURONG WEST ST 41,12,1983,Y,N,N,N,N,N,JW,88,0,0,0,12,76,0,0,0,0,0,0,0,461 JURONG WEST ST 41,1.40271329864642,103.907246242924
461,PASIR RIS DR 4,12,1992,Y,N,N,N,N,N,PRC,101,0,0,0,57,44,0,0,0,0,0,0,0,461 PASIR RIS DR 4,1.38020079047279,103.83575571651
461,SEGAR RD,16,2014,Y,N,N,N,N,N,BP,90,0,0,0,90,0,0,0,0,0,0,0,0,461 SEGAR RD,1.33000183975836,103.912464022386
461,TAMPINES ST 44,12,1985,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0,461 TAMPINES ST 44,1.39787825146928,103.744363385914
461A,BT BATOK WEST AVE 8,16,2018,Y,N,N,Y,N,N,BB,119,0,0,0,89,30,0,0,0,0,0,0,0,461A BT BATOK WEST AVE 8,1.37685178454262,103.943718967412
461B,BT BATOK WEST AVE 8,15,2018,Y,N,N,N,N,N,BB,112,0,0,0,56,56,0,0,0,0,0,0,0,461B BT BATOK WEST AVE 8,1.33885099563978,103.700454992416
461C,BT BATOK WEST AVE 8,15,2018,Y,N,N,N,N,N,BB,112,0,0,0,28,84,0,0,0,0,0,0,0,461C BT BATOK WEST AVE 8,1.43757277585058,103.796414103464
461D,BT BATOK WEST AVE 8,16,2018,Y,N,N,N,N,N,BB,105,0,0,0,45,60,0,0,0,0,0,0,0,461D BT BATOK WEST AVE 8,1.42205684515085,103.835660125996
462,ANG MO KIO AVE 10,12,1979,Y,N,N,N,N,N,AMK,129,0,0,104,22,1,2,0,0,0,0,0,0,462 ANG MO KIO AVE 10,1.4035301270326,103.908463410662
462,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,60,0,0,0,45,15,0,0,0,0,0,0,0,462 CHOA CHU KANG AVE 4,1.40333319756384,103.907970491724
462,CLEMENTI AVE 3,25,2005,Y,N,N,Y,N,N,CL,183,0,0,0,183,0,0,0,0,0,0,0,0,462 CLEMENTI AVE 3,1.37986658053966,103.835976650638
462,CRAWFORD LANE,11,1980,Y,Y,N,Y,N,N,KWN,187,0,0,182,0,5,0,0,0,0,0,0,0,462 CRAWFORD LANE,1.33079235635694,103.913183390283
462,HOUGANG AVE 10,16,1991,Y,N,N,N,N,N,HG,75,0,0,0,30,45,0,0,0,0,0,0,0,462 HOUGANG AVE 10,1.39817542038448,103.744673993982
462,JURONG WEST ST 41,12,1983,Y,N,N,N,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0,462 JURONG WEST ST 41,1.30542777397595,103.767493297152
462,TAMPINES ST 44,11,1985,Y,Y,N,N,N,N,TAP,91,0,0,55,36,0,0,0,0,0,0,0,0,462 TAMPINES ST 44,1.37097387546861,103.88592514857
462A,YISHUN AVE 6,14,2018,Y,N,N,Y,N,N,YS,130,0,39,26,65,0,0,0,0,0,0,0,0,462A YISHUN AVE 6,1.36136735465848,103.935193332453
462B,YISHUN AVE 6,14,2018,Y,N,N,N,N,N,YS,195,0,91,39,65,0,0,0,0,0,0,0,0,462B YISHUN AVE 6,1.36140735147645,103.935627169376
462C,YISHUN AVE 6,14,2018,Y,N,N,N,N,N,YS,195,0,91,39,65,0,0,0,0,0,0,0,0,462C YISHUN AVE 6,1.40366537588463,103.907532294779
462D,YISHUN AVE 6,14,2018,Y,N,N,N,N,N,YS,130,0,39,26,65,0,0,0,0,0,0,0,0,462D YISHUN AVE 6,1.37967157676416,103.836487400764
463,ANG MO KIO AVE 10,13,1979,Y,N,N,Y,N,N,AMK,256,0,0,224,24,3,5,0,0,0,0,0,0,463 ANG MO KIO AVE 10,1.33023693207314,103.913508109392
463,CHOA CHU KANG AVE 4,14,1998,Y,N,N,N,N,N,CCK,78,0,0,0,65,13,0,0,0,0,0,0,0,463 CHOA CHU KANG AVE 4,1.30538490099306,103.768020281
463,CRAWFORD LANE,20,1982,Y,Y,N,N,N,N,KWN,130,0,0,127,1,2,0,0,0,0,0,0,0,463 CRAWFORD LANE,1.37714407371089,103.94300000834
463,HOUGANG AVE 10,16,1991,Y,N,N,Y,N,N,HG,78,0,0,0,48,30,0,0,0,0,0,0,0,463 HOUGANG AVE 10,1.37096742046403,103.88649685593
463,JURONG WEST ST 41,10,1983,Y,Y,N,N,N,N,JW,128,0,0,95,32,0,1,0,0,0,0,0,0,463 JURONG WEST ST 41,1.33845797373748,103.699564382012
463,PASIR RIS ST 41,10,1992,Y,N,N,N,N,N,PRC,36,0,0,0,0,0,36,0,0,0,0,0,0,463 PASIR RIS ST 41,1.38080486799859,103.761856783214
463,TAMPINES ST 44,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0,463 TAMPINES ST 44,1.42172608902193,103.836336375801
463A,BT BATOK ST 41,17,2019,Y,N,N,N,N,N,BB,160,0,0,0,64,96,0,0,0,0,0,0,0,463A BT BATOK ST 41,1.36240981026353,103.935600500968
463A,SEMBAWANG DR,22,2013,Y,N,N,N,N,N,SB,168,0,126,42,0,0,0,0,0,0,0,0,0,463A SEMBAWANG DR,1.3623711834696,103.935192775972
463B,BT BATOK ST 41,17,2019,Y,N,N,N,N,N,BB,160,0,0,0,64,96,0,0,0,0,0,0,0,463B BT BATOK ST 41,1.36187235882243,103.935562446566
463B,SEMBAWANG DR,23,2013,Y,Y,N,N,N,N,SB,132,0,0,44,88,0,0,0,0,0,0,0,0,463B SEMBAWANG DR,1.36179025953788,103.935871959816
463C,SEMBAWANG DR,23,2013,Y,N,N,N,N,N,SB,132,0,0,0,132,0,0,0,0,0,0,0,0,463C SEMBAWANG DR,1.37932777238671,103.83673603156
464,ANG MO KIO AVE 10,4,1979,Y,N,N,N,N,N,AMK,24,0,0,16,8,0,0,0,0,0,0,0,0,464 ANG MO KIO AVE 10,1.33122228560871,103.913799878266
464,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,112,0,0,0,84,28,0,0,0,0,0,0,0,464 CHOA CHU KANG AVE 4,1.30485353584518,103.767990336741
464,JURONG WEST ST 41,12,1983,Y,N,N,N,N,N,JW,110,0,0,64,44,0,0,0,0,0,0,2,0,464 JURONG WEST ST 41,1.3706773440242,103.885941015073
